MfgComment,PartID,Description
"C458, C467, C479, C511, C590",2230-0114,"CAP,SMD,TA,330UF,6.3V,20%,CASE-D3L"
"C456, C457, C461, C462, C463, C465, C469, C473, C476, C477, C480, C483, C484, C489, C492, C495, C499, C510, C516, C528, C545, C556, C558, C574, C578, C601, C610, C611, C618, C623, C662, C663",2230-0115,"CAP,SMD,CER,0.022UF,10%,10V,0201"
C26,2230-0016,"CAP,SMD,CER,33NF,10%,25V,0603"
"C455, C464, C466, C472, C475, C478, C486, C487, C570, C585, C586, C596, C629, C630",2230-0118,"CAP,SMD,CER,0.047UF,10%,6.3V,0201"
"C280, C281, C282, C283, C284, C285, C286, C287, C288, C289, C290, C291, C582, C395, C407, C420, C440",2230-0119,"CAP,SMD,CER,0.047UF,10%,25V,0603"
"C276, C277, C278, C279, C454, C468, C482, C485, C493, C535, C548, C579, C607, C621",2230-0120,"CAP,SMD,CER,0.47UF,10%,10V,0402"
"C552, C553, C565, C622",2230-0122,"CAP,SMD,CER,0.22UF,20%,10V,0201"
"C319, C320, C323, C328, C329, C333, C337, C338, C371",2230-0124,"CAP,SMD,CER,2.2UF,10%,25V,0805"
"C87, C97, C107, C125, C126, C127, C661",2230-0127,"CAP,SMD,TA,10UF,10%,35V,CASE-C"
"C508, C509, C513, C514, C515, C520, C521, C522, C523, C526, C527, C530, C531, C532, C533, C539, C540, C542, C543, C544, C549, C550, C554, C555, C559, C560, C563, C564, C571, C572, C575, C576, C580, C587, C588, C592, C593, C594, C598, C600, C602, C603, C605, C606, C608, C612, C615, C616, C619, C624, C625, C627",2230-0128,"CAP,SMD,CER,0.01UF,10%,10V,0201"
"C47, C48, C98, C99, C100, C101, C102, C103, C322, C326, C327, C332, C334, C335, C387, C388, C400, C401, C402, C412, C414, C427, C430, C432, C436, C439, C442, C447, C448, C449, C453",2230-0140,"CAP,SMD,CER,22UF,10%,25V,1210"
"C4, C6, C17, C18, C28, C29, C31, C32, C36, C39, C40, C49, C59, C68, C70, C108, C109, C169, C170, C171, C197, C198, C253, C264, C265, C267, C268, C269, C270, C271, C297, C324, C325, C421, C423, C424, C428, C431, C642, C643, C670, C684, C685, C686, C687, C691, C693, C696",2230-0158,"CAP,SMD,CER,10UF,20%,25V,0603"
"C450, C649, C416, C413",2230-0131,"CAP,SMD,CER,0.22UF,10%,50V,0805"
"C,406, C422, C393, C441",2230-0054,"CAP,SMD,CER,22NF,10%,50V,0603"
"L13, L14, L15, L16, L23, L28, L29, L30, L31, L40, L41, L42, L43",2240-0021,"IND,FERRITE,SMD,30R,25%,3A,100MHZ,0603"
"L1, L2, L3, L4, L6, L7, L33, L34, L35",2240-0025,"IND,SMD,10UH,20%,3.5A,60MOHM,7.6X6.5MM"
